User ID,Movie ID,Rating
CinemaSerf,1034541,7.0
r96sk,1034541,7.0
r96sk,912649,7.0
Mangoturtle,912649,2.0
CinemaSerf,912649,6.0
Brent Marchant,1184918,7.0
CinemaSerf,1184918,7.0
Manuel São Bento,1184918,9.0
BiankaMalburg,1184918,9.0
Manuel São Bento,933260,8.0
griggs79,933260,10.0
Brent Marchant,933260,4.0
CinemaSerf,933260,7.0
r96sk,933260,9.0
CinemaSerf,698687,7.0
CinemaSerf,889737,6.0
YearOneFun,889737,1.0
Manuel São Bento,889737,4.0
Brent Marchant,889737,5.0
biancarockr,889737,5.0
r96sk,889737,9.0
aGoryLouie,889737,6.0
r96sk,945961,8.0
CinemaSerf,945961,7.0
MovieGuys,945961,6.0
Manuel São Bento,945961,7.0
Mister BLAQK,945961,7.0
Dean,945961,10.0
Hotplix,1022789,8.0
CinemaSerf,1022789,6.0
Chris Sawin,1022789,5.0
heyitsmestoney,1022789,7.0
TheSceneSnobs,1022789,8.0
Gimly,335983,6.0
javajohnny,335983,7.0
Per Gunnar Jonsson,335983,7.0
Nelson,335983,9.0
Manuel São Bento,335983,4.0
r96sk,335983,8.0
r96sk,335983,8.0
Martha,335983,8.0
GenerationofSwine,335983,10.0
shammahrashad,533535,6.0
r96sk,533535,9.0
Chris Sawin,533535,8.0
Brent Marchant,533535,6.0
Sean,533535,10.0
CinemaSerf,533535,7.0
TheSceneSnobs,533535,8.0
GenerationofSwine,533535,10.0
JPV852,533535,7.0
Pringo,533535,10.0
DonGable,533535,4.0
aGoryLouie,533535,8.0
davidrobitaille,533535,10.0
tmdb51616167,533535,9.0
albuainain,533535,7.0
CinemaSerf,1084736,7.0
Cal,580489,7.0
RADIO1'S MR. MOVIE!-MAD AMI 🌠,580489,7.0
Henry,580489,9.0
Chris Sawin,580489,6.0
JPV852,580489,7.0
DallasBob,580489,5.0
r96sk,580489,7.0
CinemaSerf,580489,6.0
Martha,580489,6.0
Gimly,354912,5.0
furious_iz,354912,9.0
